<<<<<<< HEAD
cause_of_death,CartoDB_Cause_of_death,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,"latitude, longitude",route
drowned,drowning or exhaustion related death,2Q2010,2010 -- 6,2010.0,0.0,0.0,2.0,"drowned, boat overturned crossing Evros river from TR-GR, bodies found in Orestiada (GR) (Jun 24, 2010)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
murdered,malicious intent related death / manslaughter,2Q2010,2010 -- 6,2010.0,0.0,0.0,1.0,"killed by another asylum seeker in Alvesta (S) apartment rented by Migration Board (Jun 24, 2010)","alvesta, sweden",56.89921,14.556001,"56.89921, 14.556001",Unknown
executed,malicious intent related death / manslaughter,2Q2010,2010 -- 5,2010.0,0.0,0.0,20.0,"whilst travelling to Europe, executed in Tripoli and Banghazi (LY) for alleged criminal offences (May 29, 2010)",tripoli,32.876174,13.187507,"32.876174, 13.187507",Central Mediterranean Route
drowned,drowning or exhaustion related death,2Q2010,2010 -- 5,2010.0,0.0,0.0,2.0,"Found the bodies of two men drowned in the Evros River at the border between Turkey and Greece (May 26, 2010)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
suicide - hanged,suicide,2Q2010,2010 -- 5,2010.0,0.0,0.0,1.0,"suicide, hanged himself with bedsheet whilst awating deportation in Barcelona det centre(E) (May 12, 2010)",barcelona,41.385064,2.173403,"41.385064, 2.173403",Western Mediterranean route
run over by a truck,"violent accidental death (transport, blown in minefield...)",2Q2010,2010 -- 4,2010.0,0.0,0.0,1.0,"A 16 year old Afghan boy hit by truck dies beneath which he had hidden in Dunkirk to embark secretly on a ferry to England (Apr 21, 2010)",dunkirk,51.03456,2.375202,"51.03456, 2.375202",Unknown
shot by the police,authorities related death,2Q2010,2010 -- 4,2010.0,0.0,0.0,1.0,"A man killed by gunfire in the Egyptian border police on the border with Israel in Sinai. Already 14 victims beginning of the year (Apr 20, 2010)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",Unknown
fall,"violent accidental death (transport, blown in minefield...)",2Q2010,2010 -- 4,2010.0,1.0,0.0,1.0,Stowaway fell from the wheelbay on a plane to ZâˆšÂºrich.,"Weisslingen, Switzerland",47.43235,8.76459,"47.43235, 8.76459",Unknown
drowned,drowning or exhaustion related death,2Q2010,2010 -- 4,2010.0,0.0,0.0,1.0,"drowned whilst swimming to city, body washed up on Chorrillo beach, Ceuta (E) (Apr 17, 2010)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",Western Mediterranean route
drowned,drowning or exhaustion related death,2Q2010,2010 -- 4,2010.0,0.0,0.0,4.0,"drowned, bodies found by Evros river near Edirne (TR) when boat capsized, 7 survivors (Apr 17, 2010)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
suicide - hanged,suicide,2Q2010,2010 -- 4,2010.0,0.0,0.0,1.0,"suicide, hanged herself in deportation centre in Hamburg (D) (Apr 15, 2010)",hamburg,53.551085,9.993682,"53.551085, 9.993682",Unknown
lack of medical care,drowning or exhaustion related death,2Q2010,2010 -- 4,2010.0,0.0,0.0,1.0,"died after being denied medical attention by staff at Oakington detention centre (GB) (Apr 14, 2010)","Oakington, united kingdom",52.260094,0.064304,"52.260094, 0.064304",Unknown
drowned,drowning or exhaustion related death,2Q2010,2010 -- 4,2010.0,0.0,0.0,11.0,"reportedly drowned, boat sank of Almeria coast (E) on way from Algeria.  3 survivors (Apr 12, 2010). From Del Grande's data set (translated): The merchant Liliana rescued 18 miles off the coast of Carboneras the three survivors of a sunken boat on the route between Algeria and Spain. Lost at sea the other 11 passengers (Apr 13, 2010)",carboneras,36.999117,-1.892141,"36.999117, -1.892141",Western Mediterranean route
drowned,drowning or exhaustion related death,2Q2010,2010 -- 4,2010.0,0.0,0.0,2.0,"Boat capsizes at sea during the landing in Lampedusa. Two missing. One of the corpses will be found a month later (Apr 3, 2010)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
drowned,drowning or exhaustion related death,1Q2010,2010 -- 3,2010.0,0.0,0.0,19.0,"drowned, boat capsized when travelling from Turkey to Greece (Mar 31, 2010). From Del Grande's data set (translated): Shipwreck in Alexandroupoli. Recovered four dead bodies, two neighbors at the port and two in the Rhodope. We are looking for other missing (Jan 4, 2010)",alexandroupoli,40.845719,25.873962,"40.845719, 25.873962",Eastern Mediterranean route
lack of medical care,drowning or exhaustion related death,1Q2010,2010 -- 3,2010.0,0.0,0.0,1.0,"asylum-seeker, died in detention centre in Vottem (B) due to lack of medical treatment (Mar 31, 2010)",vottem,50.671046,5.57847,"50.671046, 5.57847",Unknown
drowned,drowning or exhaustion related death,1Q2010,2010 -- 3,2010.0,0.0,0.0,2.0,"drowned, boat capsized 3 miles from Kafr el-Sheikh, Egypt on way to Italy. 38 survivors (Mar 29, 2010). From Del Grande's data set (translated): Shipwreck in Kafr Sheykh. It capsized boat bound for Italy, found 2 dead bodies, 13 men are missing (Mar 30, 2010)",kafr,31.558247,31.085148,"31.558247, 31.085148",Unknown
killed by bomb,other,1Q2010,2010 -- 3,2010.0,0.0,0.0,1.0,"asylum seeker, killed by bomb exposion in Athens (GR) while searching for food into garbage  (Mar 27, 2010)",athens,37.983716,23.72931,"37.983716, 23.72931",Eastern Mediterranean route
shot by the police,authorities related death,1Q2010,2010 -- 3,2010.0,0.0,0.0,2.0,"Egyptian police fired on a group of migrants at the border with Israel at Sinai. 2 killed and 5 wounded. 11 victims beginning of the year (Mar 27, 2010)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",Unknown
unknown,unknown - supposedly exhaustion related death,1Q2010,2010 -- 3,2010.0,0.0,0.0,3.0,"bodies thrown overboard on the way to Sicily (I), 20 surivors rescued by border patrol (Mar 20, 2010). From Del Grande's data set (translated): The passengers of a vessel rescued 25 miles off Lampedusa speak 3 dead abandoned at sea (Mar 22, 2010)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
suicide - hungerstrike,suicide,1Q2010,2010 -- 3,2010.0,1.0,0.0,1.0,"died during deportation at Zurich airport (CH),weak from hunger strike,police forcibly restrain (Mar 16, 2010)",zurich,47.36865,8.539183,"47.36865, 8.539183",Unknown
lack of medical care,drowning or exhaustion related death,1Q2010,2010 -- 3,2010.0,0.0,0.0,1.0,"unknown cause had mental health problems but was not monitored in Charleroi(B) asylum cr. (Mar 5, 2010)","charleroi, belgium",50.41081,4.444643,"50.41081, 4.444643",Unknown
car accident,"violent accidental death (transport, blown in minefield...)",1Q2010,2010 -- 3,2010.0,0.0,0.0,1.0,"stowaway, hanging under lorry, had permission to travel Ceuta-Malaga (E) but was prevented (Mar 4, 2010)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",Western Mediterranean route
lack of medical care,drowning or exhaustion related death,1Q2010,2010 -- 3,2010.0,0.0,0.0,1.0,"refused hospital treatment in Cernusco sul Naviglo (I) due to new discriminatory laws (Mar 2, 2010)","naviglo, italy",45.450072,9.177592,"45.450072, 9.177592",Unknown
shot by the police,authorities related death,1Q2010,2010 -- 2,2010.0,0.0,0.0,1.0,"One dead and two injured in the shooting of the Egyptian police at the border with Israel. 8 victims already from the beginning of the year (Feb 23, 2010)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",Unknown
drowned,drowning or exhaustion related death,1Q2010,2010 -- 2,2010.0,0.0,0.0,5.0,"missing, feared drowned, sailing with 30 survivors rescued off coast of Mostaganem (DZ) (Feb 9, 2010). From Del Grande's data set (translated): Capovoltesi two boats rescued at sea 3 miles off of Mostaganem on the route to Spain. Salvi 30 passengers, 5 the missing at sea (Oct 4, 2010)",capo,38.158524,14.742693,"38.158524, 14.742693",Central Mediterranean Route
suicide - hanged,suicide,1Q2010,2010 -- 2,2010.0,0.0,0.0,1.0,"suicide, hanged himself with kettle cord whilst facing deporting in Langenhagen prison (D)  (Feb 5, 2010)",langenhagen,52.447828,9.744931,"52.447828, 9.744931",Unknown
suicide - hanged,suicide,1Q2010,2010 -- 2,2010.0,0.0,0.0,1.0,"suicide, asylum seeker hanged himself in Liverpool (GB) as he was homesick and left in limbo (Feb 4, 2010)",liverpool,53.408371,-2.991573,"53.408371, -2.991573",Unknown
shot by the police,authorities related death,1Q2010,2010 -- 2,2010.0,0.0,0.0,2.0,"Egyptian police opened fire on a group of migrants at the border with Israel, 2 dead (Feb 4, 2010)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",Unknown
murdered,malicious intent related death / manslaughter,1Q2010,2010 -- 2,2010.0,0.0,0.0,1.0,"stabbed by breadknife by drunk asylum seeker, whilst in asylum centre in Mostviertel (A) (Feb 3, 2010)","Mostviertel, austria",48.132108,15.137272,"48.132108, 15.137272",Unknown
car accident,"violent accidental death (transport, blown in minefield...)",4Q2010,2010 -- 12,2010.0,0.0,0.0,1.0,"stowaway, crushed by the cargo of the truck he was hiding in, on way from Ceuta to Spain (Dec 27, 2010)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",Western Mediterranean route
frozen,drowning or exhaustion related death,4Q2010,2010 -- 12,2010.0,0.0,0.0,1.0,"frozen to death, found in Nea Vissa (GR), crossing TR-GR border (Dec 19, 2010)",vissa,48.217686,21.506965,"48.217686, 21.506965",Eastern Borders route
frozen,drowning or exhaustion related death,4Q2010,2010 -- 12,2010.0,0.0,0.0,2.0,"froze to death, bodies found in Nea Vissa (GR), near Turkish border (Dec 16, 2010). From Del Grande's data set (translated): Found the bodies of two men frozen to death while attempting to walk across the border between Turkey and Greece, near Nea Vissa, Orestiada (Dec 17, 2010)",vissa,48.217686,21.506965,"48.217686, 21.506965",Eastern Borders route
lack of medical care,drowning or exhaustion related death,4Q2010,2010 -- 12,2010.0,0.0,0.0,1.0,"asthma attack at Masotti Carabinieri station, Brescia (I) medical treatment provided too late (Dec 11, 2010)","Masotti, brescia",45.472519,10.531554,"45.472519, 10.531554",Unknown
shot,malicious intent related death / manslaughter,4Q2010,2010 -- 12,2010.0,0.0,0.0,2.0,"Killed by their smugglers two other men in the group of 250 Eritreans seized more than a month in the Sinai desert by the same Bedouin who had been entrusted to cross the border with Israel. The execution could be a retaliation for failure to pay the ransom of $ 8,000 that the robbers asking for free hostages (Dec 11, 2010)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",Unknown
asphyxiated,drowning or exhaustion related death,4Q2010,2010 -- 12,2010.0,0.0,0.0,1.0,"suffocated, security guards restrained him during deportation, on flight from Heathrow (GB) (Dec 9, 2010). From Del Grande's data set (translated): He died an Angolan citizen, 46 years old, while trying to deport him by force on the BA flight from Heathrow to Luanda Flight 77. If an investigation was initiated on (Oct 16, 2010)",heathrow,51.47238,-0.45094,"51.47238, -0.45094",Unknown
drowned,drowning or exhaustion related death,4Q2010,2010 -- 12,2010.0,0.0,0.0,1.0,"drowned, body found by helicopter rescue 24km from Tabarca, Alicante (E) (Dec 7, 2010). From Del Grande's data set (translated): Salt balance of the sinking of Alicante. Found a second body in the sea, search suspended for missing 6 (Aug 14, 2010)",alicante,38.345996,-0.490686,"38.345996, -0.490686",Western Mediterranean route
crushed,"violent accidental death (transport, blown in minefield...)",4Q2010,2010 -- 12,2010.0,0.0,0.0,1.0,"Sardar Ayari, Afghanistan, 25 years and father of three, died crushed between two trucks while trying to hide in a truck near the port of Patras to embark secretly to Italy (Dec 2, 2010)",patras,38.24664,21.734574,"38.24664, 21.734574",Unknown
shot,malicious intent related death / manslaughter,4Q2010,2010 -- 11,2010.0,0.0,0.0,6.0,"A group of 250 Eritreans, 80 of which are rejected by Italy in Libya last year, ends sequestered into the hands of smugglers who have entrusted themselves to cross the border between Egypt and Israel in the Sinai. The redemption price is set at $ 8,000. An escape attempt fails and is repressed with unprecedented violence, resulting in the killing of six Eritreans (Nov 30, 2010)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",Unknown
police violence,authorities related death,4Q2010,2010 -- 11,2010.0,0.0,0.0,1.0,"died from shock, taser was used on deportee by police in Colombes (FR) to calm fight (Nov 28, 2010)",colombes,48.922062,2.253331,"48.922062, 2.253331",Unknown
car accident,"violent accidental death (transport, blown in minefield...)",4Q2010,2010 -- 11,2010.0,0.0,0.0,1.0,"stowaway, crushed between 2 trucks whilst trying to climb into one in Patras (GR) going to I (Nov 26, 2010)",patras,38.24664,21.734574,"38.24664, 21.734574",Unknown
asphyxiated,drowning or exhaustion related death,4Q2010,2010 -- 11,2010.0,0.0,0.0,4.0,"stowaways, suffocated in back of van near Amphiloxia (GR), travelling from Italy (Nov 22, 2010). From Del Grande's data set (translated): Asphyxiated 4 Iraqis hidden in a truck stopped at Amphiloxia and direct in Italy (Nov 23, 2010)",iraq,33.223191,43.679291,"33.223191, 43.679291",Unknown
burned,"violent accidental death (transport, blown in minefield...)",4Q2010,2010 -- 11,2010.0,0.0,0.0,2.0,"died of burns and fume inhalation, fire they made to heat up Santurtzi squat (E) spread (Nov 21, 2010)",Santurtzi,43.328128,-3.033659,"43.328128, -3.033659",Unknown
drowned,drowning or exhaustion related death,4Q2010,2010 -- 11,2010.0,0.0,0.0,1.0,"drowned, boat sank on way from Balkans, body found in Bari(I) holding Greek expulsion order (Nov 15, 2010). From Del Grande's data set (translated): Found entangled in the nets of a fishing boat the corpse of a 23 year-old Somali, three miles off the coast from Mola di Bari (Nov 18, 2010)",bari,41.117143,16.871871,"41.117143, 16.871871",Apulia and Calabria route
shot by the police,authorities related death,4Q2010,2010 -- 11,2010.0,0.0,0.0,21.0,"Twenty-one Eritrean killed by the gunfire of the Egyptian border police on the border with Israel in Sinai (Nov 13, 2010)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",Unknown
drowned,drowning or exhaustion related death,4Q2010,2010 -- 11,2010.0,0.0,0.0,5.0,"missing, feared drowned when ship sank off Kani Keli, Mayotte (F), 31 survivors (Nov 11, 2010). From Del Grande's data set (translated): Shipwreck of a kwassa off the island of Mayotte, in the Indian Ocean, at least 5 missing (Dec 13, 2010)",mayotte,-12.8275,45.166244,"-12.8275, 45.166244",Unknown
drowned,drowning or exhaustion related death,4Q2010,2010 -- 11,2010.0,0.0,0.0,1.0,"Found the body of a young man drowned on the way to Spain, to Chabia. This is the fourth corpse fished out of a month in the area of __Mostaganem, after the three found in Ouled Boughanem, Hadjadj and Sidi Lakhdar (Nov 12, 2010)",mostaganem,35.939838,0.089767,"35.939838, 0.089767",Western Mediterranean route
drowned,drowning or exhaustion related death,4Q2010,2010 -- 11,2010.0,0.0,0.0,2.0,"drowned, bodies found in La Linea de la Conception (E) near to the strait of Gibraltar (Nov 7, 2010)",gibraltar,36.140751,-5.353585,"36.140751, -5.353585",Western Mediterranean route
drowned,drowning or exhaustion related death,4Q2010,2010 -- 11,2010.0,0.0,0.0,8.0,"drowned, 6 missing and 2 found by sea patrol near Tabarka, Alicante (E) travelling from DZ (Nov 7, 2010). From Del Grande's data set (translated): Landing in Alicante, a drowned (Aug 13, 2010)",alicante,38.345996,-0.490686,"38.345996, -0.490686",Western Mediterranean route
drowned,drowning or exhaustion related death,4Q2010,2010 -- 11,2010.0,0.0,0.0,1.0,"drowned, mark of a knock on his head, body found near to Levante beach (E) (Nov 7, 2010)",levante,39.557242,2.75807,"39.557242, 2.75807",Western Mediterranean route
